file_name,exposure,outcome,method,nsnp,b,se,pval,-Log10P
THBS2_P35442_OID21104_v1_Neurology.txt,THBS2,mvpa_leisure_time,Inverse variance weighted,9,-0.0367267448464248,0.0097531840153939,0.000166139030290547,3.77952832872508
HADH_Q16836_OID30132_v1_Cardiometabolic_II.txt,HADH,mvpa_leisure_time,Wald ratio,1,0.1986022186705,0.0548520413470905,0.000293818781730014,3.53192044632317
PTPRS_Q13332_OID20306_v1_Cardiometabolic.txt,PTPRS,mvpa_leisure_time,Inverse variance weighted,14,0.0350470028991309,0.010338487004358,0.000699041668830159,3.15549693583709
EHD3_Q9NZN3_OID30229_v1_Cardiometabolic_II.txt,EHD3,mvpa_leisure_time,Inverse variance weighted,6,0.0619972332802671,0.0184958389080351,0.000802428479449399,3.09559366591955
CCL25_O15444_OID20674_v1_Inflammation.txt,CCL25,mvpa_leisure_time,Inverse variance weighted,23,0.0237393182449152,0.00713140751085567,0.000872083272453812,3.05944204369071
CD34_P28906_OID21025_v1_Neurology.txt,CD34,mvpa_leisure_time,Wald ratio,1,-0.223618705623113,0.0677385130172203,0.000962705757843823,3.01650643070657
LZTFL1_Q9NQ48_OID30637_v1_Inflammation_II.txt,LZTFL1,mvpa_leisure_time,Inverse variance weighted,3,-0.0553638112539421,0.0170930504584803,0.00119963824315734,2.92094969785794
SOST_Q9BQB4_OID20204_v1_Cardiometabolic.txt,SOST,mvpa_leisure_time,Inverse variance weighted,5,0.110669548548814,0.0350266914720116,0.00157998038152842,2.80134830560687
GOT1_P17174_OID30417_v1_Cardiometabolic_II.txt,GOT1,mvpa_leisure_time,Wald ratio,1,0.233869120993164,0.0755202369873759,0.00195638837499505,2.70854492645314
GOLM2_Q6P4E1_OID21044_v1_Neurology.txt,GOLM2,mvpa_leisure_time,Wald ratio,1,0.232950548583216,0.0766284699286895,0.00236578148620881,2.62602537116889
CEP112_Q8N8E3_OID30115_v1_Cardiometabolic_II.txt,CEP112,mvpa_leisure_time,Inverse variance weighted,19,0.0184107232161638,0.00608689880146201,0.00248923063982363,2.60393486194418
PPBP_P02775_OID30761_v1_Inflammation_II.txt,PPBP,mvpa_leisure_time,Inverse variance weighted,3,0.0141400759487069,0.00470167108685683,0.00263442962991275,2.57931339767907
