file_name,exposure,outcome,method,nsnp,b,se,pval,-Log10P
LRPAP1_P30533_OID21059_v1_Neurology.txt,LRPAP1,leisure_screen_time,Inverse variance weighted,79,-0.000920266381576004,0.00118574387039473,0.437684683859939,0.35883865062585
CEACAM1_P13688_OID21528_v1_Oncology.txt,CEACAM1,leisure_screen_time,Inverse variance weighted,33,-0.00120642240727184,0.00127928406445983,0.345657899411692,0.461353513621106
LRP1_Q07954_OID21293_v1_Oncology.txt,LRP1,leisure_screen_time,Inverse variance weighted,93,0.000195385417698289,0.0013080892539714,0.881264019549074,0.0548939609913294
CEACAM21_Q3KPI0_OID20548_v1_Inflammation.txt,CEACAM21,leisure_screen_time,Inverse variance weighted,43,0.00107018468694145,0.00134130352842534,0.424946435897527,0.371665808914829
SGSH_P51688_OID30341_v1_Cardiometabolic_II.txt,SGSH,leisure_screen_time,Inverse variance weighted,94,0.00127245046173657,0.00137730424868729,0.355553858475897,0.449094604027797
APOBR_Q0VD83_OID30246_v1_Cardiometabolic_II.txt,APOBR,leisure_screen_time,Inverse variance weighted,49,0.00112495126885187,0.0015614141802323,0.471235981893737,0.326761555781901
HLA-A_P04439_OID31048_v1_Neurology_II.txt,HLA-A,leisure_screen_time,Inverse variance weighted,91,-0.000502879507701211,0.00167726123872573,0.764313074940538,0.11672871096853
CST7_O76096_OID20704_v1_Inflammation.txt,CST7,leisure_screen_time,Inverse variance weighted,93,0.0031341293253023,0.00168379967706682,0.0626957055797304,1.2027622056908
PDCD6_O75340_OID20163_v1_Cardiometabolic.txt,PDCD6,leisure_screen_time,Inverse variance weighted,41,-0.00155601223703261,0.00169778673259369,0.359407580228732,0.44441276746969
LRRC37A2_A6NM11_OID31440_v1_Oncology_II.txt,LRRC37A2,leisure_screen_time,Inverse variance weighted,64,0.00127505322257121,0.00174460974293514,0.464868961270205,0.332669450158245
TNXB_P22105_OID21107_v1_Neurology.txt,TNXB,leisure_screen_time,Inverse variance weighted,76,0.00289871942623121,0.00177292967219087,0.102051481951076,0.991180684250197
FCRL2_Q96LA5_OID20639_v1_Inflammation.txt,FCRL2,leisure_screen_time,Inverse variance weighted,124,0.000683163593066731,0.00179896375601752,0.704128068177498,0.152348343351617
TPSAB1_Q15661_OID20642_v1_Inflammation.txt,TPSAB1,leisure_screen_time,Inverse variance weighted,67,0.00285651113062369,0.00190857741784404,0.134479068735046,0.871345307039072
IFNGR2_P38484_OID20941_v1_Neurology.txt,IFNGR2,leisure_screen_time,Inverse variance weighted,63,-0.00336670669579663,0.00195924975917893,0.0857300151853212,1.06686709934686
AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II.txt,AAMDC,leisure_screen_time,Inverse variance weighted,37,0.00366989975276512,0.00204502038328493,0.07272476869708,1.13831765136301
DDC_P20711_OID20215_v1_Cardiometabolic.txt,DDC,leisure_screen_time,Inverse variance weighted,42,0.00129852966198573,0.00204661768868614,0.525770270179233,0.279203974833198
FOLR3_P41439_OID21485_v1_Oncology.txt,FOLR3,leisure_screen_time,Inverse variance weighted,79,0.00251727359425254,0.0020571689447053,0.221080837353708,0.655448899177081
SUSD2_Q9UGT4_OID21098_v1_Neurology.txt,SUSD2,leisure_screen_time,Inverse variance weighted,74,-0.00136544169586695,0.00209359905107662,0.514273270707298,0.288806047496901
CPVL_Q9H3G5_OID21435_v1_Oncology.txt,CPVL,leisure_screen_time,Inverse variance weighted,111,0.00175999667498026,0.00211397730644107,0.405097268669334,0.392440684996702
BTN3A2_P78410_OID20540_v1_Inflammation.txt,BTN3A2,leisure_screen_time,Inverse variance weighted,96,0.00223935816950655,0.00216655899828147,0.301322597369435,0.520968297650075
SPINK4_O60575_OID20509_v1_Inflammation.txt,SPINK4,leisure_screen_time,Inverse variance weighted,53,-0.00292728841543616,0.00222205269637116,0.18771118581037,0.726509846766118
