file_name,outcome,exposure,method,nsnp,b,se,pval,P
DKKL1_Q9UK85_OID21313_v1_Oncology.txt,DKKL1,ssoe,Inverse variance weighted,13,0.0760549242571733,0.14732194264394,0.60567994853957,0.217756803722803
TLR3_O15455_OID20612_v1_Inflammation.txt,TLR3,ssoe,Inverse variance weighted,13,-0.150595959043326,0.150382320674895,0.316623492111842,0.499456865481114
CD33_P20138_OID21472_v1_Oncology.txt,CD33,ssoe,Inverse variance weighted,13,-0.123054124551309,0.150563381483291,0.413762042803418,0.383249352619349
SIRPA_P78324_OID20304_v1_Cardiometabolic.txt,SIRPA,ssoe,Inverse variance weighted,13,0.0675045801998268,0.151885186806647,0.656721035611694,0.182619072483889
CCL24_O00175_OID20772_v1_Inflammation.txt,CCL24,ssoe,Inverse variance weighted,13,-0.189553359275958,0.182625349585982,0.299300019115582,0.52389325542245
LILRB5_O75023_OID20324_v1_Cardiometabolic.txt,LILRB5,ssoe,Inverse variance weighted,13,0.132766787400719,0.185985317666721,0.475316052960694,0.323017517928011
SPINT3_P49223_OID31509_v1_Oncology_II.txt,SPINT3,ssoe,Inverse variance weighted,13,-0.122409548741758,0.189600916852813,0.51852751518052,0.285228193230556
INSL3_P51460_OID31129_v1_Neurology_II.txt,INSL3,ssoe,Inverse variance weighted,13,0.0942528273782111,0.190611449647069,0.62096990295125,0.206929448613999
LILRA3_Q8N6C8_OID30376_v1_Cardiometabolic_II.txt,LILRA3,ssoe,Inverse variance weighted,13,-0.17021519889015,0.190735902383741,0.372171605564679,0.429256763975203
CSF2RB_P32927_OID30553_v1_Inflammation_II.txt,CSF2RB,ssoe,Inverse variance weighted,13,-0.305118179881275,0.192561470288036,0.113074632280805,0.946634815907288
KIR2DS4_P43632_OID31432_v1_Oncology_II.txt,KIR2DS4,ssoe,Inverse variance weighted,13,-0.165534263101044,0.194343639384505,0.394346954967045,0.404121508321195
CEACAM21_Q3KPI0_OID20548_v1_Inflammation.txt,CEACAM21,ssoe,Inverse variance weighted,13,-0.412184904566896,0.195486247755502,0.0349868119192636,1.45609562965062
CFHR4_Q92496_OID30758_v1_Inflammation_II.txt,CFHR4,ssoe,Inverse variance weighted,13,-0.198391657491794,0.195808975152084,0.310969508837655,0.507282192300304
ABO_P16442_OID30675_v1_Inflammation_II.txt,ABO,ssoe,Inverse variance weighted,13,0.246628836306971,0.196295475630421,0.208965072870054,0.679926297273655
GSTT2B_P0CG30_OID31097_v1_Neurology_II.txt,GSTT2B,ssoe,Inverse variance weighted,13,0.0505933161693215,0.197066090666162,0.797385100456525,0.0983318836096272
EDDM3B_P56851_OID31365_v1_Oncology_II.txt,EDDM3B,ssoe,Inverse variance weighted,13,0.355738862693508,0.197136667945125,0.071148394579459,1.14783489506175
APOBR_Q0VD83_OID30246_v1_Cardiometabolic_II.txt,APOBR,ssoe,Inverse variance weighted,13,0.367951250559872,0.197867840003671,0.0629448475637621,1.2010398138676
BST1_Q10588_OID21051_v1_Neurology.txt,BST1,ssoe,Inverse variance weighted,13,0.218336588751882,0.198074977466876,0.270334470424681,0.568098573758349
FUCA1_P04066_OID20261_v1_Cardiometabolic.txt,FUCA1,ssoe,Inverse variance weighted,13,-0.0574307113044375,0.200249625187195,0.774268832564377,0.111108222484807
PDGFRB_P09619_OID20268_v1_Cardiometabolic.txt,PDGFRB,ssoe,Inverse variance weighted,13,-0.216004701100882,0.200586822971677,0.281541089264017,0.550458213464891
KLK3_P07288_OID30364_v1_Cardiometabolic_II.txt,KLK3,ssoe,Inverse variance weighted,13,0.154011889792875,0.202014690428382,0.445833445860454,0.350827354411664
PZP_P20742_OID30730_v1_Inflammation_II.txt,PZP,ssoe,Inverse variance weighted,13,-0.577825676849932,0.206346659907913,0.00510604040696577,2.29191575270199
IL1RAP_Q9NPH3_OID21126_v1_Neurology.txt,IL1RAP,ssoe,Inverse variance weighted,13,0.0898711907927521,0.208889116483585,0.667025464342256,0.17585758615507
KLK12_Q9UKR0_OID21201_v1_Oncology.txt,KLK12,ssoe,Inverse variance weighted,13,0.187123746145376,0.208980305312838,0.370566190145605,0.431134207529327
PROK1_P58294_OID20543_v1_Inflammation.txt,PROK1,ssoe,Inverse variance weighted,13,0.0851797976451955,0.210117922508742,0.685190534962795,0.164188644891904
TDGF1_P13385_OID20816_v1_Neurology.txt,TDGF1,ssoe,Inverse variance weighted,13,0.357186016368293,0.212650303933993,0.0930181706597039,1.03143220578568
