"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","outcome2","-LOG10P"
"acc_425","A1BG_P04217_OID30771_v1_Inflammation_II",19,0.0936101884789296,0.0921585765114688,0.309747860220739,19,0.111034354365914,0.11316535707452,0.326509347040757,19,0.166817488159204,0.207739259367546,0.432442938141253,19,0.199299489513713,0.197506391172583,0.326310038819728,19,0.117178166885736,0.332925101497392,0.729189261376067,NA,NA,NA,NA,"A1BG",0.508991685105363
"acc_425","AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II",19,0.0457465994942232,0.0776536828409352,0.555787153943124,19,0.0387628710936873,0.104990760562138,0.711976651902682,19,-0.155096437776508,0.212868719855931,0.475618921214951,19,-0.114965029475616,0.210342520064952,0.591391822305773,19,0.324155607923175,0.270773522474986,0.247677040849516,NA,NA,NA,NA,"AAMDC",0.255091495406954
"acc_425","AARSD1_Q9BTE6_OID21311_v1_Oncology",19,0.0428683345186069,0.100560588522698,0.669893926472903,19,0.00738084371950132,0.124017761572196,0.952542389521414,19,0.026672792794723,0.222561302637563,0.905933686246824,19,-0.00796972864765699,0.230821961455465,0.972836444372474,19,0.573335571185944,0.336786367193994,0.106899153038619,NA,NA,NA,NA,"AARSD1",0.173993959679061
"acc_425","ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II",19,0.0442176341274541,0.0924766585289024,0.632544063694854,19,-0.0132021588389724,0.128853230018843,0.918392442600269,19,-0.245921534853706,0.293377833189192,0.412888170056755,19,-0.236338475544383,0.267740557887793,0.389027406643012,19,0.376488926960157,0.322800487775984,0.259586851950508,NA,NA,NA,NA,"ABCA2",0.198909215681041
"acc_425","ABHD14B_Q96IU4_OID20921_v1_Neurology",19,0.145210335920122,0.0843567051064978,0.0851810507856614,19,0.111905196728333,0.113056886277047,0.32226543887553,19,0.0849801771839969,0.20844080693734,0.688306081299485,19,0.133242422165824,0.206778813796312,0.527461409835682,19,0.567825334381577,0.296212987209232,0.0722091738233565,NA,NA,NA,NA,"ABHD14B",1.06965700681217
"acc_425","ABL1_P00519_OID21280_v1_Oncology",19,0.0632835583792713,0.0847845654401409,0.455423264090426,19,0.0363007593166447,0.120413443328099,0.763057905109597,19,-0.0493916249120198,0.209031051404888,0.815876740320008,19,-0.0205710858799278,0.227412311103551,0.928922883305508,19,0.189355325185324,0.297180315307059,0.532499901002888,NA,NA,NA,NA,"ABL1",0.341584788371645
"acc_425","ABO_P16442_OID30675_v1_Inflammation_II",19,0.0113228869142474,0.0652976676115589,0.862333758898678,19,0.0535408509022344,0.0835589058858123,0.521681375020518,19,0.0538028819540283,0.137411129213106,0.699989693982167,19,0.0575540094168282,0.153844865401209,0.712697211028361,19,0.00263607295314798,0.23000608572178,0.990989164169587,NA,NA,NA,NA,"ABO",0.0643246116769088
"acc_425","ABRAXAS2_Q15018_OID30130_v1_Cardiometabolic_II",19,0.0312407612112916,0.0867701921291165,0.718817037903336,19,0.0210006488428406,0.116088508503698,0.856444461945005,19,0.0324741475518923,0.247720863296907,0.897156837724719,19,0.0407873855465087,0.228377147516573,0.860249223068744,19,0.157085508013725,0.30430769953222,0.612359656334475,NA,NA,NA,NA,"ABRAXAS2",0.143381637490015
"acc_425","ACAA1_P09110_OID21269_v1_Oncology",19,-0.0559985411287221,0.0894015894647998,0.531071786795037,19,0.0968778857072013,0.124706261536253,0.437248094686568,19,0.133358829473549,0.221768570796064,0.555110408151313,19,0.145741453234315,0.218172013196344,0.512601399561719,19,0.186584108464473,0.316544147015761,0.563317800895327,NA,NA,NA,NA,"ACAA1",0.274846769875709
"acc_425","ACADM_P11310_OID31277_v1_Oncology_II",19,-0.0279513525274365,0.0870411178742054,0.748113283988139,19,-0.019093057079039,0.121046515865379,0.874667020030226,19,0.0142733096736853,0.209807711028131,0.946511420640863,19,0.0142733096736853,0.221911327116991,0.949424459700891,19,-0.171194926116359,0.304630923777134,0.581467719241322,NA,NA,NA,NA,"ACADM",0.126032633571677
"acc_425","ACADSB_P45954_OID30356_v1_Cardiometabolic_II",19,-0.0336327267959907,0.0852722747217587,0.693274129538435,19,-0.0238044644932376,0.117131231532485,0.838956037442145,19,-0.0314240956198197,0.206209095950679,0.88057491834054,19,-0.00646124320363328,0.2012460689146,0.97474070544418,19,0.201331558323204,0.298680641214498,0.509329745018491,NA,NA,NA,NA,"ACADSB",0.159095005784686
