"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","outcome2","b","-LOG10P"
"vpa","A1BG_P04217_OID30771_v1_Inflammation_II",59,-0.240899082529352,0.166217223681232,0.147253048158769,59,-0.498099220741755,0.225549730040844,0.0272178849864171,59,-0.632044136616513,0.275989672903486,0.0256708674323676,59,-0.771490558674785,0.442460732607241,0.0865211081527904,59,-0.00621216290128294,0.41382742914491,0.988075441057856,NA,NA,NA,NA,"A1BG",-0.240899082529352,0.831935706491069
"vpa","AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II",59,0.128204468043281,0.137651110587518,0.351660876962584,59,0.0167787551210095,0.210172502189001,0.936369874454464,59,-0.0144087142723883,0.292802704574401,0.960921303447759,59,0.038883757280828,0.434849845641992,0.929057136569999,59,-0.0461410854210272,0.342228065163267,0.893224779910789,NA,NA,NA,NA,"AAMDC",0.128204468043281,0.453875945201307
"vpa","AARSD1_Q9BTE6_OID21311_v1_Oncology",59,-0.0123686009199503,0.13428831603924,0.926614760447461,59,0.178687780792204,0.215630419194129,0.40728769760874,59,0.0272939312206555,0.320334898147724,0.932392360014139,59,-0.115050808956999,0.436256052495571,0.792928019462311,59,0.078832161391862,0.332717588208038,0.813557343727337,NA,NA,NA,NA,"AARSD1",-0.0123686009199503,0.0331007860130431
"vpa","ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II",59,0.0736628635056597,0.142724421192152,0.605770917020424,59,0.168484850008699,0.223345891839376,0.450628667237783,59,0.093626048145488,0.320241691793946,0.771054245285377,59,-0.100166391331463,0.449774894927915,0.824548788462281,59,-0.123512419888704,0.353423731161215,0.728021330606996,NA,NA,NA,NA,"ABCA2",0.0736628635056597,0.217691580921847
"vpa","ABHD14B_Q96IU4_OID20921_v1_Neurology",59,-0.00171994903489663,0.147519183209361,0.990697550923109,59,0.0184174541145332,0.245978772920068,0.940314835795252,59,-0.118641090481811,0.332123763212731,0.722223996490592,59,-0.611245288158614,0.51155986957315,0.237002747574091,59,0.0858197851398701,0.368217891176774,0.816543584974543,NA,NA,NA,NA,"ABHD14B",-0.00171994903489663,0.00405891061388342
"vpa","ABL1_P00519_OID21280_v1_Oncology",59,0.0865113564916369,0.148531935344443,0.560268458718008,59,0.0114529762177185,0.241447260917303,0.962166780697405,59,0.136297791010191,0.305497210970112,0.657149607301694,59,0.287099468668713,0.430475049549313,0.507457447900807,59,0.106332450613186,0.371135979676507,0.77552990223658,NA,NA,NA,NA,"ABL1",0.0865113564916369,0.251603826203315
"vpa","ABO_P16442_OID30675_v1_Inflammation_II",59,0.113266849589507,0.103755305539157,0.27497692500251,59,-0.0453219586070096,0.142098587276996,0.749766487115181,59,-0.131500644562863,0.214852870789989,0.542896855150712,59,-0.0450496769428099,0.306116749524266,0.883512145041385,59,-0.154303244030535,0.256959575473522,0.550555867248176,NA,NA,NA,NA,"ABO",0.113266849589507,0.560703748949898
"vpa","ABRAXAS2_Q15018_OID30130_v1_Cardiometabolic_II",59,0.0901812975607839,0.142039508952068,0.525491739094506,59,0.231084021345079,0.23358013591169,0.322509698168793,59,0.264574985655479,0.320066890138351,0.41183796563023,59,0.159305113942683,0.461023169042044,0.730933448781208,59,-0.0354957062128093,0.351721303456753,0.919968136849392,NA,NA,NA,NA,"ABRAXAS2",0.0901812975607839,0.279434106836255
"vpa","ACAA1_P09110_OID21269_v1_Oncology",59,-0.0885174136615926,0.15007957922307,0.555322607888092,59,-0.087314798248894,0.233763038065344,0.708762646129992,59,-0.0961834769475209,0.311137577044388,0.758326722209617,59,-0.21323003942549,0.452198293036657,0.639023478851254,59,-0.140953156428081,0.375116043185145,0.708491063004096,NA,NA,NA,NA,"ACAA1",-0.0885174136615926,0.255454645488028
"vpa","ACADM_P11310_OID31277_v1_Oncology_II",59,-0.0318953964670824,0.160076264995323,0.842066208557003,59,0.106745743093233,0.231826148910103,0.645188941101476,59,0.0875468528985097,0.301375395973294,0.772476760861757,59,-0.266418141679046,0.483431139518697,0.583683000306704,59,-0.0327114031648398,0.399897015236414,0.935092663063599,NA,NA,NA,NA,"ACADM",-0.0318953964670824,0.0746537601861929
